,id,SpeechBERTScore,SpeechBLEU,MCD,SpeechTokenDistance,LogF0RMSE,PESQ,UTMOS,dataset,method
0,1516.5,0.535,0.149,9.534,0.419,0.551,1.279,4.229,daily,EmoQ
1,1516.5,1.000,1.000,0.000,1.000,0.000,4.644,4.314,daily,SourceData
2,1516.5,0.477,0.182,9.969,0.425,0.562,1.178,4.386,daily,Coct
3,1516.5,0.530,0.162,9.446,0.425,0.557,1.272,4.244,daily,FSM
4,488.5692308,0.502,0.098,10.150,0.391,0.606,1.268,3.764,emorynlp,EmoQ
5,488.5692308,1.000,1.000,0.000,1.000,0.000,4.644,4.022,emorynlp,SourceData
6,488.5692308,0.456,0.145,10.370,0.404,0.588,1.234,4.310,emorynlp,Coct
7,488.5692308,0.500,0.099,10.141,0.391,0.610,1.260,3.706,emorynlp,FSM
8,981.9586735,0.533,0.128,9.554,0.421,0.559,1.292,4.023,meld,EmoQ
9,981.9586735,1.000,1.000,0.000,1.000,0.000,4.644,4.162,meld,SourceData
10,981.9586735,0.469,0.150,10.004,0.410,0.574,1.212,4.288,meld,Coct
11,981.9586735,0.551,0.138,9.258,0.431,0.554,1.261,4.042,meld,FSM
12,543.9300828,0.518,0.126,9.904,0.406,0.594,1.293,3.979,imeocap,EmoQ
13,543.9300828,1.000,1.000,0.000,1.000,0.000,4.644,4.148,imeocap,SourceData
14,543.9300828,0.456,0.150,10.308,0.408,0.572,1.216,4.293,imeocap,Coct
15,543.9300828,0.484,0.114,10.001,0.383,0.635,1.243,4.092,imeocap,FSM
